_id,PROVINCIE,BEVOEGD GEZAG NUMMER,INSTELLINGSCODE,VESTIGINGSCODE,VESTIGINGSNAAM,STRAATNAAM,HUISNUMMER-TOEVOEGING,POSTCODE,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,DENOMINATIE,TELEFOONNUMMER,INTERNETADRES,STRAATNAAM CORRESPONDENTIEADRES,HUISNUMMER-TOEVOEGING CORRESPONDENTIEADRES,POSTCODE CORRESPONDENTIEADRES,PLAATSNAAM CORRESPONDENTIEADRES,NODAAL GEBIED CODE,NODAAL GEBIED NAAM,RPA-GEBIED CODE,RPA-GEBIED NAAM,WGR-GEBIED CODE,WGR-GEBIED NAAM,COROPGEBIED CODE,COROPGEBIED NAAM,ONDERWIJSGEBIED CODE,ONDERWIJSGEBIED NAAM,RMC-REGIO CODE,RMC-REGIO NAAM,VAKANTIEREGIO
763,Friesland,42852,08PH,08PH00,Christelijke Basisschool De Reinboge,Skoalstrjitte,1,9287LV,TWIJZELERHEIDE,0059,ACHTKARSPELEN,Protestants-Christelijk,0511441307,reinboge.noventa.nl,Skoalstrjitte,1,9287LV,TWIJZELERHEIDE,10,Leeuwarden,04,Fryslân,06,Friesland-Oost,04,Noord-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
764,Friesland,42852,10BP,10BP00,Christelijke Basisschool De Wijnroas,Ikeloane,10,9281RB,HARKEMA,0059,ACHTKARSPELEN,Protestants-Christelijk,0512361711,www.wynroas.nl,Postbus,20,9280AA,HARKEMA,10,Leeuwarden,04,Fryslân,06,Friesland-Oost,04,Noord-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
765,Friesland,42852,11MA,11MA00,Christelyke Basisschool De Lichtbron,Johan Frisostraat,2,9285TS,BUITENPOST,0059,ACHTKARSPELEN,Protestants-Christelijk,0511542385,www.lichtbron.noventa.nl,Johan Frisostraat,2,9285TS,BUITENPOST,10,Leeuwarden,04,Fryslân,06,Friesland-Oost,04,Noord-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
766,Friesland,42852,11MB,11MB00,Christelijke Basisschool de Hoekstien,Badlaan,39,9231AZ,SURHUISTERVEEN,0059,ACHTKARSPELEN,Protestants-Christelijk,0512361900,www.dehoekstien.nl,Postbus,47,9230AA,SURHUISTERVEEN,10,Leeuwarden,04,Fryslân,06,Friesland-Oost,04,Noord-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
767,Friesland,42852,11XH,11XH00,Christelijke Basisschool De Bernebrege,De Merel,12-14,9231JJ,SURHUISTERVEEN,0059,ACHTKARSPELEN,Protestants-Christelijk,0512362800,,Postbus,19,9230AA,SURHUISTERVEEN,10,Leeuwarden,04,Fryslân,06,Friesland-Oost,04,Noord-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
768,Friesland,53150,07IZ,07IZ00,Christelijke Basisschool Koningin Wilhelmina,De Hagen,15,9161BX,HOLLUM,0060,AMELAND,Protestants-Christelijk,0519554500,www.cbskoninginwilhelmina.nl,De Hagen,15,9161BX,HOLLUM,10,Leeuwarden,04,Fryslân,04,Friesland-Noord,04,Noord-Friesland,03,Friesland,04,Friesland Noord,Noord
769,Friesland,53150,08DC,08DC00,Openbare Basisschool De Schakel,Schoolstraat,5,9161BE,HOLLUM,0060,AMELAND,Openbaar,0519554361,,Schoolstraat,5,9161BE,HOLLUM,10,Leeuwarden,04,Fryslân,04,Friesland-Noord,04,Noord-Friesland,03,Friesland,04,Friesland Noord,Noord
770,Friesland,53150,09DN,09DN00,Openbare Basisschool ‘t Ienster,Camminghastraat,11,9162EK,BALLUM,0060,AMELAND,Openbaar,0519554292,,Camminghastraat,11,9162EK,BALLUM,10,Leeuwarden,04,Fryslân,04,Friesland-Noord,04,Noord-Friesland,03,Friesland,04,Friesland Noord,Noord
771,Friesland,77456,06PV,06PV00,Michaelschool Leeuwarden,Hercules Seghersstraat,3,8932DG,LEEUWARDEN,0080,LEEUWARDEN,Antroposofisch,0582127740,www.michaelschoolleeuwarden.nl,Hercules Seghersstraat,3,8932DG,LEEUWARDEN,10,Leeuwarden,04,Fryslân,04,Friesland-Noord,04,Noord-Friesland,03,Friesland,04,Friesland Noord,Noord
772,Friesland,84332,03XI,03XI00,Christelijke Basisschool De Opdracht,Foareker,21-23,9247AA,URETERP,0086,OPSTERLAND,Protestants-Christelijk,0512301771,www.deopdracht.nl,Foareker,21,9247AA,URETERP,07,Smallingerland,04,Fryslân,06,Friesland-Oost,06,Zuidoost-Friesland,03,Friesland,06,Friesland-Oost ('de Friese Wouden'),Noord
